---,LOKASI,TERMINAL,ZONA,IP Address,MINI PC,,,,,,,,,,,MONITOR,,,,,,,,,
,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pengadaan,Kondisi (%),Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pengadaan,Kondisi (%),Status Garansi,
31,Checkin Island A 04 T3-INT,3U-INT,Checkin,172.17.150.80,China,HP,Thin Client Elite t655,8CG5063T7Y,"1HDMI,1VGA",120 GB,4 GB,Windows 10,2018,Normal 50%,,Korea,LG,43SM5KE,111INMF5G083,"3 HDMI, 1DP,1DVI-D",43,2022,Normal 90%,30-01-2026,
32,Checkin Island A 05 T3-INT,3U-INT,Checkin,172.17.150.79,China,HP,Thin Client t640,8CN3280J00,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,11-09-2026,Korea,LG,43SM5KE,111INKH5G061,"3 HDMI, 1DP,1DVI-D",43,2022,Normal 90%,02-05-2026,
33,Checkin Island A 06 T3-INT,3U-INT,Checkin,172.17.150.78,.,.,.,E000141200238,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,LG,43SM5KE,111INWA5G257,"3 HDMI, 1DP,1DVI-D","43""",2023,Normal 90%,05-07-2026,
34,Checkin Island A 07 T3-INT,3U-INT,Checkin,172.17.150.77,China,HP,Thin Client Elite t655,8CG427377N,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",8 GB,4 GB,Windows 10,2017,Normal 35%,,Korea,LG,43SM5KE,111INWA5G113,"3 HDMI, 1DP,1DVI-D",43,2022,Normal 90%,,
35,Checkin Island A 08 T3-INT,3U-INT,Checkin,172.17.150.76,China,HP,Thin Client Elite t655,8CG437277Q,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",8 GB,4 GB,Windows 10,2017,Normal 35%,,Korea,LG,43SM5KE,111INGQ5G343,"3 HDMI, 1DP,1DVI-D",43,2022,Normal 90%,05-07-2026,
36,Checkin Island A 09 T3-INT,3U-INT,Checkin,172.17.150.75,China,HP,Thin Client Elite t655,8CG4372788,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",8 GB,4 GB,Windows 10,2017,Normal 35%,,Korea,LG,43SM5KE,111INEW5G252,"3 HDMI, 1DP,1DVI-D",43,2022,Normal 90%,02-05-2026,
37,Checkin Island A 10 T3-INT,3U-INT,Checkin,172.17.150.74,.,LENOVO,.,PF63HMG1,"HDMI, DP",8 GB,60 GB,Windows 11,2025,Normal 35%,,Korea,LG,43SM5KE,107INUB0V550,"3 HDMI, 1DP,1DVI-D",43,2022,Normal 90%,,
38,Checkin Island A 11 T3-INT,3U-INT,Checkin,172.17.150.73,China,HP,Thin Client Elite t655,8CG437278J,"1HDMI,1VGA",8 GB,4 GB,Windows 10,2017,Normal 35%,,Korea,LG,43SM5KE,107INGQ0V567,"3 HDMI, 1DP,1DVI-D",43,2022,Normal 90%,,
39,Checkin Island A 12 T3-INT,3U-INT,Checkin,172.17.150.72,.,LENOVO,.,PF63GNBS,"HDMI, DP",8 GB,60 GB,Windows 11,2025,Normal 35%,,China,BOE,LDV43AAAXX,D430132AA310200080,3 HDMI,"43""",2024,Normal 90%,,
40,Checkin Island A 13 T3-INT,3U-INT,Checkin,172.17.150.71,China,HP,T630 Thin Client,8CN91608HY,"2 DP, 1 RGB, 4 USB, 1 LAN",60 GB,4 GB,Windows 10,2020,Normal 90%,11-07-2021,Korea,LG,43SM5KE,111INUB5G086,"3 HDMI, 1DP,1DVI-D",43,2022,Normal 90%,,
