---,LOKASI,TERMINAL,ZONA,IP Address,MINI PC,,,,,,,,,,,MONITOR,,,,,,,,,
,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pengadaan,Kondisi (%),Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pengadaan,Kondisi (%),Status Garansi,
167,Checkin Island F 10 T3-DOM,3U-DOM,Checkin,172.17.148.18,China,HP,Thin Client t640,8CN1010LNP,DP,60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE-B,111INCN1X091,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,05-07-2026,
168,Checkin Island F 11 T3-DOM,3U-DOM,Checkin,172.17.148.17,China,HP,Thin Client Elite t655,8CG42730YH,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,09-11-2024,Korea,LG,43SM5KE-B,111INTX1X049,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
169,Checkin Island F 12 T3-DOM,3U-DOM,Checkin,172.17.148.16,China,HP,Thin Client Elite t655,8CG42730Y3,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,09-11-2024,Korea,LG,43SM5KE-B,111INHZ2R209,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
170,Checkin Island F 13 T3-DOM,3U-DOM,Checkin,172.17.148.15,China,HP,Thin Client Elite t655,8CG42730XV,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,09-11-2024,Korea,LG,43SM5KE-B,111INDP5G154,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
171,Checkin Island F 14 T3-DOM,3U-DOM,Checkin,172.17.148.13,China,HP,Thin Client Elite t655,8CG40935YW,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,111INFK5G067,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
172,Checkin Island F 15 T3-DOM,3U-DOM,Checkin,172.17.148.12,China,HP,Thin Client Elite t655,8CG40936GG,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,111INYD1X090,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
173,Checkin Island F 16 T3-DOM,3U-DOM,Checkin,172.17.148.11,China,HP,Thin Client t640,8CN3250BLF,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,,Korea,LG,43SM5KE-B,111INHZ5G241,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
174,Checkin Island F 17 T3-DOM,3U-DOM,Checkin,172.17.148.10,China,HP,Thin Client Elite t655,8CG42730XC,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 90%,,Korea,LG,43SM5KE-B,111INDP5G154,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
175,Checkin Island F 18 T3-DOM,3U-DOM,Checkin,172.17.148.9,China,HP,Thin Client Elite t655,8CG42730YJ,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 90%,,Korea,LG,43SM5KE-B,11INSE5G030,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
176,Checkin Island F 19 T3-DOM,3U-DOM,Checkin,172.17.148.8,China,HP,Thin Client t640,8CN2390F7C,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,16-02-2026,Korea,LG,43SM5KE-B,111INCN1X091,"3 HDMI, 2DP, 1DVI","43""",2022,Normal 90%,,
177,Checkin Island F 20 T3-DOM,3U-DOM,Checkin,172.17.148.7,China,HP,Thin Client t640, 8CN32508GK   ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INDP5G082,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
178,Checkin Island F 21 T3-DOM,3U-DOM,Checkin,172.17.148.6,China,HP,Thin Client Elite t655,8CG42730XT,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 90%,,Korea,LG,43LT340C0TB,003INZY6K213,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,03-04-2026,
179,Checkin Island F 22 T3-DOM,3U-DOM,Checkin,172.17.148.5,China,HP,Thin Client t640,8CN2490GP9,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,China,BOE,LDV43AAAXX,D430132AA310200136,2 HDMI,"43""",2024,Normal 100%,,
180,Checkin Island F 23 T3-DOM,3U-DOM,Checkin,172.17.148.4,China,HP,Thin Client t640,8CN2490GQ5,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,INA,LG,43SM5KE,111INRC5G142,"3 HDMI, 2DP, 1DVI","43""",2024,Normal 100%,,
181,Checkin Island F 24 T3-DOM,3U-DOM,Checkin,172.17.148.3,China,HP,Thin Client Elite t655,8CG42730XW,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,,Korea,LG,43SM5KE,111INYDAV578 ,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
182,Checkin Island F 25 T3-DOM,3U-DOM,Checkin,172.17.148.2,China,HP,Thin Client t640,8CN32508KW   ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INCN5G171,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
183,Checkin Island F 26 T3-DOM,3U-DOM,Checkin,172.17.148.1,China,HP,Thin Client Elite t655,8CG42730Y6,"DP, VGA",60 GB,8 GB,Windows 10,2024,Normal 90%,22-04-2021,Korea,BOE,DV43A-A,D430132AA310200039,HDMI,"43""",2024,Normal 90%,03-04-2026,
184,General Boarding SCP2 Kiri T3-INT,3U-INT,Boarding,172.17.150.118,.,.,.,E000141200194,"1HDMI,1VGA",8 GB,4 GB,Lubuntu,2017,Normal 35%,,Korea,LG,65UH5C,805KCBDKY189,"3 HDMI, 2DP, 1DVI","65""",2022,Normal 90%,,
185,General Boarding SCP2 Kanan T3-INT,3U-INT,Boarding,172.17.150.119,.,.,.,8CN23909KZ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2025,Korea,LG,65UH5C,805KCUKKY182,"3 HDMI, 2DP, 1DVI","65""",2022,Normal 90%,,
186,General Boarding SCP2 Kiri T3-DOM,3U-DOM,Boarding,172.17.148.169,.,.,.,8CN05302HM,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-11-2025,China,BOE,SR65AA,MBVE05300001,"2 HDMI, 1VGA","65""",2025,Normal 100%,,
187,General Boarding SCP2 Kanan T3-DOM,3U-DOM,Boarding,172.17.148.170,.,.,.,8CN2410FZC,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,09-12-2025,Korea,LG,65UH5C,709KCVU13343,"3 HDMI, 2DP, 1DVI","65""",2021,Normal 90%,,
188,General Boarding Setelah Gate Imigrasi T3-INT,3U-INT,Boarding,172.17.151.116,.,.,.,8CN2370KWG,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,07-11-2025,China,BOE,LDV43AAAXX,D550134AA2Z0600008,"2 HDMI, 1VGA","55""",2023,Normal 90%,,
189,Video Wall SCP2 Kiri T3-DOM,3U-DOM,Boarding,172.17.149.35,.,.,.,8CN1010LPB,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea ,LG,55VH7B-A,807KCCVLF395,"1 HDMI, 2DP, 1DVI","55""",2023,Normal 90%,19-06-2026,
190,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,807KCGWPG615,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
191,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCUK19694,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
192,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,603KCKJ1J205,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
193,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCSF2A854,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
194,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,603KCHE1J193,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
195,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCDG2A882,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
196,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCFT2A891,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
197,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,603KCMR1J203,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
198,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCRN2A846,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
199,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCUK19894,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
200,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCNL2A887,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
201,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCZP2A877,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
202,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCSF19910,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
203,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCXM2A842,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
204,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KC0X2A876,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
205,Video Wall SCP2 Kanan T3-DOM,3U-DOM,Boarding,172.17.149.36,.,.,.,8CN1010LMM (dipakai untuk pc remote di server imigrasi T3 ),"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea ,LG,55VH7B-A,602KCLH2A880,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
206,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCXM2A890,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
207,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCQX19908,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
208,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,609KCLHM3552,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
209,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,607KCFTLF387,"1 HDMI, 2DP, 1DVI","55""",2023,Normal 90%,19-06-2026,
210,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,607KCKJPG621,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,19-06-2026,
211,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,807KCGWPG591,"1 HDMI, 2DP, 1DVI","55""",2023,Normal 90%,19-06-2026,
212,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,807KCTBPG617,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,19-06-2026,
213,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCPY2A848,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
214,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCPY19904,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
215,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,603KCUK5Q590,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
216,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,603KCPY1J192,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
217,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCTB2A833,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
218,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,603KCBD5Q597,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
219,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCVU19903,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
220,,,,,.,.,.,,,,,,,,,Korea ,LG,55VH7B-A,602KCNL19895,"1 HDMI, 2DP, 1DVI","55""",2017,Normal 90%,,
221,General Boarding Mezanine 01 T3-INT,3U-INT,Boarding,172.17.150.120,.,.,.,8CN0480K3F,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,Korea,LG,65UH5C,612KCQX14372,"HDMI, DP, DVI","65""",2017,Normal 90%,,
222,General Boarding Mezanine 02 T3-INT,3U-INT,Boarding,172.17.150.121,.,.,.,8CN239OF71,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,,Korea,LG,65UH5C,112INUB27814,"1 HDMI, 1DP, 1DVI","65""",2021,Normal 90%,,
223,Boarding Gate 01 T3-INT,3U-INT,Boarding,172.17.150.96,China,LENOVO,ThinkEdge SE10,PF63GAG9,"1 HDMI, 1 VGA,1DP, 2 LAN",8 GB,2 GB,Windows 11,2017,Normal 50%,,Korea,LG,43M5KC-BF,709KCWC0M841,"1 HDMI, 1 DP, 1 RGB, 1 DVI","43""",2023,Normal 90%,,
224,Boarding Gate 02 T3-INT,3U-INT,Boarding,172.17.150.97,China,LENOVO,ThinkEdge SE10,000A6246,"1 HDMI, 1 VGA, 1 LAN",8 GB,2 GB,Puppy,2017,Normal 60%,,Korea,LG,43SM5KD-BH,110INNG8D575,"1 HDMI, 1 DP, 1 RGB, 1 DVI","43""",2021,Normal 70%,,
225,Boarding Gate 03 T3-INT,3U-INT,Boarding,172.17.150.98,China,HP,Thin Client Elite t655,8CG3452KDT,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43M5KC-BF,709KCLH0M808,"1 HDMI, 1 DP, 1 RGB, 1 DVI","43""",2023,Normal 90%,,
226,Boarding Gate 04 T3-INT,3U-INT,Boarding,172.17.150.99,China,LENOVO,ThinkEdge SE10,PF63HK2Q,"1 HDMI, 1 VGA,1DP, 2 LAN",8 GB,2 GB,Windows 11,2017,Normal 60%,,Korea,LG,43SM5KC,709KCPY0M824,"3 HDMI, 2DP, 1DVI","43""",2018,Normal 90%,,
227,Boarding Gate 05 T3-INT,3U-INT,Boarding,172.17.150.90,China,HP,Thin Client Elite t655,8CG40935Z1,"1 HDMI, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 100%,,Korea,LG,43SM5KE-B,111INZY5G029,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,05-07-2026,
228,Boarding Gate 06 T3-INT,3U-INT,Boarding,172.17.150.89,China,HP,Thin Client t640,8CN32502HK,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43UH5F-BJ,004KCXMMQ978,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
229,Boarding Gate 07 T3-INT,3U-INT,Boarding,172.17.150.88,China,HP,Thin Client t640,8CN2490GPM,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE-B,110INOU8D972,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-03-2026,
230,Boarding Gate 08 T3-INT,3U-INT,Boarding,172.17.150.87,China,HP,Thin Client t640,8CN32508KT,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,111INJL5F948,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
231,Boarding Gate 09 T3-INT,3U-INT,Boarding,172.17.150.86,China,HP,Thin Client t640,8CN23001TJ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43UH5F,008INJL6S716,"1 HDMI, 1 RGB","43""",2020,Normal 90%,,
232,Boarding Gate 10 T3-INT,3U-INT,Boarding,172.17.150.85,China,HP,Thin Client t640,8CN1010LPL,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,01-03-2024,China,BOE,LDV43AAAXX,D430132AA3Z2700008,"3 HDMI, 2DP, 1DVI","43""",2024,Normal 90%,,
233,Boarding Gate 11 T3-DOM,3U-DOM,Boarding,172.17.148.228,.,MINIX',NEO Z64-W10,A01E0B0374E6,"1 HDMI, 1 LAN",32 GB,2 GB,Windows,2017,Normal 50%,,Korea,LG,43SM5KD-B,806KCYQKE450,"2 HDMI, DP, DVI","43""",2020,Normal 90%,,
234,Boarding Gate 12 T3-DOM,3U-DOM,Boarding,172.17.148.227,China,HP,Thin Client t640,8CN05302J6,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2021,Normal 90%,18-02-2024,Korea,Samsung,LH43QMCEPGCXXD,0SKVHNDY300011P,"2 HDMI, 1 DP","43""",2026,Normal 100%,,
235,Boarding Gate 13 T3-DOM,3U-DOM,Boarding,172.17.148.224,China,HP,Thin Client Elite t655,8CG40935Z5,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,China,BOE,LDV43AAAXX,D430132AA310200090,HDMI ,"43""",2025,Normal 90%,,
236,Boarding Gate 14 T3-DOM,3U-DOM,Boarding,172.17.148.233,China,HP,Thin Client t640,8CN05302JG,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-02-2024,Korea,LG,43SM5KE-B,110INFK8D387,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
237,Boarding Gate 15 T3-DOM,3U-DOM,Boarding,172.17.148.199,China,HP,Thin Client Elite t655,8CG437277S,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,111INPT5G072,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,30-01-2026,
238,Boarding Gate 16 T3-DOM,3U-DOM,Boarding,172.17.148.220,China,LENOVO,ThinkEdge SE10,PF63PBWV,"1 HDMI, 1 VGA,1DP, 2 LAN",8 GB,2 GB,Windows 11,2016,Normal 50%,,Korea,LG,43SM5KE-B,111INPT5G120,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
239,Boarding Gate 17 T3-DOM,3U-DOM,Boarding,172.17.148.221,China,HP,Thin Client t640,8CN32508L4,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,18-02-2024,Korea,LG,43UH5F,101ING000591,"1 HDMI, 1 RGB","43""",2021,Normal 90%,,
240,Boarding Gate 18 T3-DOM,3U-DOM,Boarding,172.17.148.219,China,HP,Thin Client t640,8CN05302HZ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,18-02-2024,Korea,LG,43SM5KE-B,111INYD5G362,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
241,Boarding Gate 19 T3-DOM,3U-DOM,Boarding,172.17.148.218,China,HP,Thin Client Elite t655,8CG40935ZH,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,111INZY5G341,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
242,Boarding Gate 20 T3-DOM,3U-DOM,Boarding,172.17.148.217,China,HP,Thin Client Elite t655,8CG5080SCX,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2025,Normal 100%,,Korea,LG,43SM5KE-B,111INWAAV569,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,05-07-2026,
243,Boarding Gate 21 T3-DOM,3U-DOM,Boarding,172.17.148.216,China,HP,Thin Client Elite t655,8CG5063T80,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2025,Normal 100%,,Korea,BOE,LDV43AAAXX,D430132AA310200125,2 HDMI,"43""",2024,Normal 100%,,
244,Boarding Gate 22 T3-DOM,3U-DOM,Boarding,172.17.148.215,China,HP,Thin Client t640,8CN23001TC,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,15-09-2025,Korea,LG,43SM5KE-B,111INVM5G383,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
245,Boarding Gate 23 T3-DOM,3U-DOM,Boarding,172.17.148.214,China,HP,Thin Client Elite t655,8CG40935Z7,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,111INHZAV241,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
246,Boarding Gate 24 T3-DOM,3U-DOM,Boarding,172.17.148.212,China,HP,Thin Client Elite t655,8CG5063T7P,"1 HDMI, 1 VGA, 1 LAN",60 GB,8 GB,Windows 10,2025,Normal 100%,,Cina,BOE,LDV43AAAXX,D430132AA310200089,2 HDMI,"43""",2024,Normal 100%,,
247,Boarding Gate 25 T3-DOM,3U-DOM,Boarding,172.17.148.213,China,HP,Thin Client t640,8CN32508L3,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,15-09-2026,Korea,LG,43SM5KE-B,111INBS5G309,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,05-07-2026,
248,Boarding Gate 26 T3-DOM,3U-DOM,Boarding,172.17.148.211,China,CYCRONE,MPC X3700,E000141200151,"1 HDMI, 1 VGA, 1 LAN",60 GB,4 GB,Windows 10,2016,Normal 50%,,Korea,LG,43SM5KE-B,111INYD5G386,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
249,Boarding Gate 27 T3-DOM,3U-DOM,Boarding,172.17.148.210,China,HP,Thin Client t640,8CN32508L8,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-09-2026,Korea,LG,43SM5KC-B,611KCJZ0B644,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
250,Boarding Gate 28 T3-DOM,3U-DOM,Boarding,172.17.148.209,China,HP,Thin Client t640,8CN23909KX,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE-B,107INZY0V565,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,,
251,Boarding Gate ABR Luar 5A T3-INT,3U-INT,Boarding,172.17.151.10,China,HP,Thin Client Elite t655,8CG40935Z4,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,110INVM8D991,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
252,Boarding Gate ABR Luar 5B T3-INT,3U-INT,Boarding,172.17.151.11,China,HP,Thin Client t640,8CN1010LPJ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,110INZY8D589,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
253,Boarding Gate ABR Dalam 5A T3-INT,3U-INT,Boarding,172.17.151.12,China,HP,Thin Client t640,8CN32508GN,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,15-08-2026,Korea,LG,43SM5KE-B,110INAR8D408,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
254,Boarding Gate ABR Dalam 5B T3-INT,3U-INT,Boarding,172.17.151.13,China,HP,Thin Client Elite t655,8CG40936GM,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43UH5F-HJ,101INEW00572,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 80%,,
255,Boarding Gate ABR Dalam 5R T3-INT,3U-INT,Boarding,172.17.151.14,China,HP,Thin Client t640,8CN2410FZ8,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2022,Normal 90%,09-12-2025,Korea,LG,43UP751C0TC,209INPTAP472,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
256,Boarding Gate ABR Luar 6A T3-INT,3U-INT,Boarding,172.17.151.16,China,HP,Thin Client Elite t655,8CG40935ZJ,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,110INJL8D388,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,15-01-2026,
257,Boarding Gate ABR Luar 6B T3-INT,3U-INT,Boarding,172.17.151.17,China,HP,Thin Client Elite t655,8CG3452KDC,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE-B,110INCND803,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,,
258,Boarding Gate ABR Luar 6R T3-INT,3U-INT,Boarding,172.17.151.18,China,HP,Thin Client t640,8CN1010LQ1,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,,Korea,LG,43SM5KE-B,111INCN5G075,"3 HDMI, 2DP, 1DVI","43""",2021,Normal 90%,30-01-2026,
259,Boarding Gate ABR Dalam 6A T3-INT,3U-INT,Boarding,172.17.151.19,China,HP,Thin Client t640,8CG40935ZM,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 60%,,Korea,LG,43SM5KE-B,101INVM00607,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
260,Boarding Gate ABR Dalam 6B T3-INT,3U-INT,Boarding,172.17.151.20,China,HP,Thin Client Elite t655,8CG40936GR,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,LG,43SM5KE-B,106INPT3B256,"3 HDMI, 2DP, 1DVI","43""",2023,Normal 90%,15-01-2026,
261,Boarding Gate ABR Dalam 6R T3-INT,3U-INT,Boarding,172.17.151.21,China,HP,Thin Client Elite t655,8CN2490GPG,"3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2023,Normal 90%,03-02-2026,Cina,BOE,LDV43AAAXX,D430132AA310200140,"2 HDMI, 1VGA","43""",2024,Normal 100%,,
262,Boarding Gate ABR Luar 7A T3-INT,3U-INT,Boarding,172.17.151.23,China,GIGABYTE,GB-BSi3H-6100,8CG437277M,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,Normal 100%,,Korea,BOE,LDV43AAAXX,D430132AA310200037,"2 HDMI, 1VGA","43""",2021,Normal 100%,15-01-2026,
