,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,FIDS - Display 033,General Boarding  Transferdesk  T1A ,1A,Boarding,172.17.26.62,China,INTELNUC,NUC7i3BNH,G6BN82100H5V,"4 USB, 1 LAN, 1 HDMI",1 TB,4GB,Lubuntu,2018,100,,Korea,LG,65UH5C-BF,805KCCVKY195,,"65""",2018,100,,,HDMI,33,,,,
,34,FIDS - Display 034,Boarding Gate 1_2 T1A,1A,Boarding,172.17.26.63,China,CGEAR,D945GSEJT,Filled By O.E.M,"3 USB, 1 LAN, 1 DVI, 1 VGA",160GB,4GB,Lubuntu,2018,100,,Korea,LG,55UH5C,702KCTB65281,,"55""",2017,95,VGA - HDMI,ü,VGA HDMI,34,,,,
,35,FIDS - Display 035,Boarding Gate 3 T1A,1A,Boarding,172.17.26.64,China,HP,Thin Client Elite t655,8CG437278Z,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60GB,4GB,Win 10,2018,100,,Korea,LG,55UH5C,807KCQXKY956,,"55""",2018,100,DP,,DP,35,,,,
,36,FIDS - Display 036,Boarding Gate 4 T1A,1A,Boarding,172.17.26.65,China,HP,Thin Client t630,8CN83504LO,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,win 10,2018,100,,Korea,LG,55UH5C,807KCXMKY970,,"55""",2018,100,DP,,DP,36,,,,
,37,FIDS - Display 037,Boarding Gate 5 T1A,1A,Boarding,172.17.26.66,China,HP,Thin Client Elite t655,8CG40936GL,"1 VGA, 3 DP, 6 USB Type A, 1 LAN",60 GB,8 GB,Windows 10,2024,130,,China,BOE,LDV55AAAXX,D550134AA2Z0600140,,"55""",2022,120,DP T0 HDMI,,DP T0 HDMI,37,,,,
,38,FIDS - Display 038,Boarding Gate 6_7 T1A,1A,Boarding,172.17.26.67,China,INTELNUC,NUC7i3BNH,G6BN82100HNP,"4 USB, 1 LAN, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,China,BOE,LDV55AAAXX,D550134AA2Z0600020,,"55""",2022,120,DP T0 HDMI,,DP T0 HDMI,38,,,,
,39,FIDS - Display 039,Boarding Linking A1 T1A,1A,Linking,172.17.26.68,China,HP,Thin Client t630,8CN8420LDL,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea,LG,55UH5C,807KCVUKY903,,"55""",2018,100,DP,,DP,39,,,,
,40,FIDS - Display 040,Boarding Linking A2 KiriT1A,1A,Linking,172.17.26.69,China,HP,Thin Client t630,8CN916O8JG,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea,LG,55UH5C,703KCWC5N457,,"55""",2018,100,HDMI,,HDMI,40,,,,
,41,FIDS - Display 041,Boarding Linking A2 Kanan T1A,1A,Linking,172.17.26.70,China,CYCRONE,MPC X3700,Filled By O.E.M,,148GB,4GB,Lubuntu,2012,70,,Korea,BOE,LDV55AAAXX,D550134AA2Z0600082,,"55""",2022,120,HDMI,,HDMI,41,,,,
,42,FIDS - Display 042,Boarding Linking A3 T1A,1A,Linking,172.17.26.71,China,INTELNUC,NUC7i3BNH,G6BN82100HQM,"4 USB, 1 LAN, 1 HDMI",152GB,4GB,Lubuntu,2018,100,,Korea,LG,55UH5C,807KCASKY968,,"55""",2018,100,HDMI,,HDMI,42,,,,
,43,FIDS - Display 043,Boarding Linking A4 Kiri T1A,1A,Linking,172.17.26.72,China,HP,Thin Client t630,8CN91608LD,"0 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea,LG,55UH5C,807KCSFKY982,,"55""",2018,100,HDMI,,DP TO HDMI,43,,,,
,44,FIDS - Display 044,Boarding Linking A4 Kanan T1A,1A,Linking,172.17.26.73,China,HP,Thin Client t630,8CN83504LY,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,Korea,LG,55UH5C,703KCUK5N454,,"55""",2017,95,DP,,DP,44,,,,
,46,FIDS - Display 046,Boarding Linking A5 Kanan T1A,1A,Linking,172.17.26.75,China,HP,Thin Client t630,8CN91608J8,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,China,BOE,LDV55AAAXX,D550134AA2Z0600104,,"55""",2022,120,DP,,DP T0 HDMI,46,,,,
,47,FIDS - Display 047,Boarding Linking A6 T1A,1A,Linking,172.17.26.76,China,HP,Thin Client t630,8CN91608L7,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2018,100,,China,BOE,LDV55AAAXX,D550134AA2Z0600147,,"55""",2022,120,DP,,DP TO HDMI,47,,,,
,48,FIDS - Display 048,Boading Linking A7 T1A,1A,Linking,172.17.26.77,Taiwan,FUJITECH,Smart PC,,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",8GB,4GB,Lubuntu,2017,95,,China,BOE,LDV55AAAXX,D550134AA2Z0600004,HDMI,"55""",2022,120,HDMI,ü,HDMI to HDMI,48,,,,
