,CGEAR,NAMA PERALATAN,LOKASI,Terminal,Zona,IP Address,Mini PC,,,,,,,,,,,Monitor,,,,,,,,,,,,,,,
,,PUBLIC SERVICES & IT SYSTEM BSH,,,,,Buatan,Merk,Model,S/N,Support Port,Disk Capacity,Ram Capacity,OS,Tahun Pembuatan,Kondisi,Status Garansi,Buatan,Merk,Model,S/N,Support Port,Ukuran (Inch),Tahun Pembuatan,Kondisi,Port,Converter,Port 2,,,,,
,TERMINAL 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,FIDS - Display 177,Checkin Counter 34 T1C,1C,Checkin,172.17.52.103,China,Asus,NUC14MNK-B2,T5ARAC0150878ZB,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INEW66244 ,,"43""",2025,,HDMI,,,,,,,
,40,FIDS - Display 178,Checkin Counter 35 T1C,1C,Checkin,172.17.52.102,China,Asus,NUC14MNK-B2,T5ARAC015225BFX,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INHZ66257 ,,"43""",2025,,HDMI,,,,,,,
,41,FIDS - Display 179,Checkin Counter 36 T1C,1C,Checkin,172.17.52.101,China,Asus,NUC14MNK-B2,T5ARAC015177M5A,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,406INEWAM508 ,,"43""",2025,,HDMI,,,,,,,
,42,FIDS - Display 180,General Boarding Sebelum SCP2 Kiri T1C,1C,Boarding,172.17.52.109,China,Asus,NUC14MNK-B2,T5ARAC015233H6E,,,,,,,,China,BOE,Masih pakai dari FIS,MBVE09270112,,"75""",2025,,HDMI,,,,,,,
,43,FIDS - Display 181,General Boarding Sebelum SCP2 Kanan T1C,1C,Boarding,172.17.52.110,China,Asus,NUC14MNK-B2,T7ARAC00C272W5V,,,,,,,,,,,,,"55""",2025,,HDMI,,,,,,,
,44,FIDS - Display 182,General Boarding Shopping Arcade Kiri Depan Subway,1C,Boarding,172.17.52.211,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INHZ2E305,,"55""",2025,,HDMI,,,,,,,
,45,FIDS - Display 183,General Boarding Shopping Arcade Kiri Samping 100 Hours Curry,1C,Boarding,172.17.52.212,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507IINRC2E302,,"55""",2025,,HDMI,,,,,,,
,46,FIDS - Display 184,General Boarding Shopping Arcade Kiri Samping Bread Papa,1C,Boarding,172.17.52.213,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507IINVM2E303,,"55""",2025,,HDMI,,,,,,,
,47,FIDS - Display 185,General Boarding Shopping Arcade Kiri Depan Killiney,1C,Boarding,172.17.52.214,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,55UH5C-BF,807KCRNKY998,,"55""",2025,,HDMI,,,,,,,
,48,FIDS - Display 186,General Boarding Shopping Arcade Kanan Sport Station,1C,Boarding,172.17.52.215,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,55SM5KD-BH,80KCXMQX266,,"55""",2025,,HDMI,,,,,,,
,49,FIDS - Display 187,General Boarding Shopping Arcade Kanan Blue Sky,1C,Boarding,172.17.52.216,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,55UH5N-M,507INFK2E299,,"55""",2025,,HDMI,,,,,,,
,50,FIDS - Display 188,Boarding Gate C1 T1C,1C,Boarding,172.17.52.146,China,Asus,NUC14MNK-B2,T7ARAC00C339RLX,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INCN2E307 ,,"55""",2025,,HDMI,,,,,,,
,51,FIDS - Display 189,Boarding Gate C2 T1C,1C,Boarding,172.17.52.147,China,Asus,NUC14MNK-B2,T7ARAC00C3416G3,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INGQ2E287 ,,"55""",2025,,HDMI,,,,,,,
,52,FIDS - Display 190,Boarding Gate C3 T1C,1C,Boarding,172.17.52.148,China,Asus,NUC14MNK-B2,T4ARAC0089872NM,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INQU2E308,,"55""",2025,,HDMI,,,,,,,
,53,FIDS - Display 191,Boarding Gate C4 T1C,1C,Boarding,172.17.52.149,China,Asus,NUC14MNK-B2,T5ARAC015152EHL,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INYD2E306,,"55""",2025,,HDMI,,,,,,,
,54,FIDS - Display 192,Boarding Gate C5 T1C,1C,Boarding,172.17.52.150,China,Asus,NUC14MNK-B2,T5ARAC0150983AB,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INMF2E291,,"55""",2025,,HDMI,,,,,,,
,55,FIDS - Display 193,Boarding Gate C6 T1C,1C,Boarding,172.17.52.151,China,Asus,NUC14MNK-B2,T7ARAHC00C390CWW,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INDP2E290 ,,"55""",2025,,HDMI,,,,,,,
,56,FIDS - Display 194,Boarding Gate C7 T1C,1C,Boarding,172.17.52.152,China,Asus,NUC14MNK-B2,T7ARAC003604LG,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INMF2E267 ,,"55""",2025,,HDMI,,,,,,,
,57,FIDS - Display 195,General Boarding Gate C1 Dalam Pintu Kiri,1C,Boarding,172.17.52.153,China,Asus,NUC14MNK-B2,T7ARAC00C39V4D,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INTX2E313,,"55""",2025,,HDMI,,,,,,,
,58,FIDS - Display 196,General Boarding Gate C1 Dalam Pintu Kanan,1C,Boarding,172.17.52.154,China,Asus,NUC14MNK-B2,T7ARAC00C3357W2,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,505INVM1Z959,,"55""",2025,,HDMI,,,,,,,
,59,FIDS - Display 197,General Boarding Gate C2 Dalam Pintu Kiri,1C,Boarding,172.17.52.156,China,Asus,NUC14MNK-B2,T7ARAC00C319YHP,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,505INRC1Z958,,"55""",2025,,HDMI,,,,,,,
,60,FIDS - Display 198,General Boarding Gate C2 Dalam Pintu Kanan,1C,Boarding,172.17.52.158,China,Asus,NUC14MNK-B2,T7ARAC00C335242,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INXJ2E298,,"55""",2025,,HDMI,,,,,,,
,61,FIDS - Display 199,General Boarding Gate C3 Dalam Pintu Kiri,1C,Boarding,172.17.52.159,China,Asus,NUC14MNK-B2,T5ARAC015244MT9,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INKH2E293,,"55""",2025,,HDMI,,,,,,,
,62,FIDS - Display 200,General Boarding Gate C3 Dalam Pintu Kanan,1C,Boarding,172.17.52.160,China,Asus,NUC14MNK-B2,T5ARAC015140D5P,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INQU2E284,,"55""",2025,,HDMI,,,,,,,
,63,FIDS - Display 201,General Boarding Gate C4 Dalam Pintu Kiri,1C,Boarding,172.17.52.162,China,Asus,NUC14MNK-B2,T7ARAC00C29359M,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INAR2E296,,"55""",2025,,HDMI,,,,,,,
,64,FIDS - Display 202,General Boarding Gate C4 Dalam Pintu Kanan,1C,Boarding,172.17.52.163,China,Asus,NUC14MNK-B2,T5ARAC015147G5E,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INTX2E289,,"55""",2025,,HDMI,,,,,,,
,65,FIDS - Display 203,General Boarding Gate C5 Dalam Pintu Kiri,1C,Boarding,172.17.52.165,China,Asus,NUC14MNK-B2,T5ARAC015145FVH,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INTX2E265,,"55""",2025,,HDMI,,,,,,,
,66,FIDS - Display 204,General Boarding Gate C5 Dalam Pintu Kanan,1C,Boarding,172.17.52.166,China,Asus,NUC14MNK-B2,T5ARAC0152297KD,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INJL2E300 ,,"55""",2025,,HDMI,,,,,,,
,67,FIDS - Display 205,General Boarding Gate C6 Dalam Pintu Kiri,1C,Boarding,172.17.52.168,China,Asus,NUC14MNK-B2,T7ARAC00C385PKG,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INWA2E297,,"55""",2025,,HDMI,,,,,,,
,68,FIDS - Display 206,General Boarding Gate C6 Dalam Pintu Kanan,1C,Boarding,172.17.52.169,China,Asus,NUC14MNK-B2,T5ARAC015182FZJ,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INEW2E292,,"55""",2025,,HDMI,,,,,,,
,69,FIDS - Display 207,General Boarding Gate C7 Dalam Pintu Kiri,1C,Boarding,172.17.52.171,China,Asus,NUC14MNK-B2,T7ARAC00C342RED,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,503INPT6H816,,"55""",2025,,HDMI,,,,,,,
,70,FIDS - Display 208,General Boarding Gate C7 Dalam Pintu Kanan,1C,Boarding,172.17.52.172,China,Asus,NUC14MNK-B2,T5ARAC015192Z2J,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,503INLV6H824,,"55""",2025,,HDMI,,,,,,,
,71,FIDS - Display 209,General Boarding Lingking C1-C2 T1C,1C,Boarding,172.17.52.155 ,China,Asus,NUC14MNK-B2,T7ARAC00C351P6K,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INWA2E273,,"55""",2025,,HDMI,,,,,,,
,72,FIDS - Display 210,General Boarding Lingking C3-C4 T1C,1C,Boarding,172.17.52.161,China,Asus,NUC14MNK-B2,T7ARAC00C245BPN,,,,,,,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INUB2E294,,"55""",2025,,HDMI,,,,,,,
,73,FIDS - Display 211,General Boarding Lingking C4-C5 T1C,1C,Boarding,172.17.52.164,China,Asus,NUC14MNK-B2,T7ARAC00C242AK2,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,505INJL1Z956,,"55""",2025,,HDMI,,,,,,,
,74,FIDS - Display 212,General Boarding Lingking C6-C7 T1C,1C,Boarding,172.17.52.171,China,Asus,NUC14MNK-B2,T7ARAC00C342RED,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INAR2E272 ,,"55""",2025,,HDMI,,,,,,,
,75,FIDS - Display 213,Central Coridor Arrival C1,1C,Arrival,172.17.52.191,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,43UH5N-EP,503INDP6H850,,"43""",2025,,HDMI,,,,,,,
,76,FIDS - Display 214,Central Coridor Arrival C2,1C,Arrival,172.17.52.192,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,43UH5N-EP,408INLV66264,,"43""",2025,,HDMI,,,,,,,
,77,FIDS - Display 215,Central Coridor Arrival C3,1C,Arrival,172.17.52.193,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,43UH5N-EP,310INSE0T326,,"43""",2025,,HDMI,,,,,,,
,78,FIDS - Display 216,Central Coridor Arrival C5,1C,Arrival,172.17.52.194,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,43UH5N-EP,310INXJ0T362,,"43""",2025,,HDMI,,,,,,,
,79,FIDS - Display 217,Central Coridor Arrival C6,1C,Arrival,172.17.52.195,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,43UH5N-EP,309INDP46850,,"43""",2025,,HDMI,,,,,,,
,80,FIDS - Display 218,Central Coridor Arrival C7,1C,Arrival,172.17.52.196,China,Asus,NUC14MNK-B2,,,,,,,,,Korea Selatan,LG,43UH5N-EP,503INBS6H837,,"43""",2025,,HDMI,,,,,,,
,81,FIDS - Display 219,General Sebelum Baggage Claim T1C,1C,Baggage Claim,172.17.52.208,China,Asus,NUC14MNK-B2,T7ARAC00C26992B,,,,,,,,Korea Selatan,LG,65UH5N-MP,503INMF6Y139,,"65""",2025,,HDMI,,,,,,,
,82,FIDS - Display 220,General Baggage Claim 01 T1C,1C,Baggage Claim,172.17.52.131,China,Asus,NUC14MNK-B2,T7ARAC00C334HFP,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INHZ2E281 ,,"55""",2025,,HDMI,,,,,,,
,83,FIDS - Display 221,General Baggage Claim 02 T1C,1C,Baggage Claim,172.17.52.130,China,Asus,NUC14MNK-B2,T7ARAC00C244KDG,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,505INFK1Z955 ,,"55""",2025,,HDMI,,,,,,,
,84,FIDS - Display 222,General Baggage Claim 03 T1C,1C,Baggage Claim,172.17.52.129 ,China,Asus,NUC14MNK-B2,T7ARAC00C241J8M,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INPT2E280 ,,"55""",2025,,HDMI,,,,,,,
,85,FIDS - Display 223,General Baggage Claim 04 T1C,1C,Baggage Claim,172.17.52.128,China,Asus,NUC14MNK-B2,T4ARAC009024X2M,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INSE2E286 ,,"55""",2025,,HDMI,,,,,,,
,86,FIDS - Display 224,General Baggage Claim 05 T1C,1C,Baggage Claim,172.17.52.127,China,Asus,NUC14MNK-B2,T4ARAC0089986KM,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INNG2E271 ,,"55""",2025,,HDMI,,,,,,,
,87,FIDS - Display 225,General Baggage Claim 06 T1C,1C,Baggage Claim,172.17.52.126,China,Asus,NUC14MNK-B2,T4ARAC00C3548XD,,,,Win 11,2024,90,,Korea Selatan,LG,55UH5N-MP.ATIGLRD,507INDP2E266 ,,"55""",2025,,HDMI,,,,,,,
,88,FIDS - Display 226,General Baggage Claim 07 T1C,1C,Baggage Claim,172.17.52.125,China,Asus,NUC14MNK-B2,T7ARAC00C328XXA,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,406INQUAM500 ,,"43""",2025,,HDMI,,,,,,,
,89,FIDS - Display 227,Baggage Claim 01 T1C ,1C,Baggage Claim,172.17.52.138 ,China,Asus,NUC14MNK-B2,T7ARAC00C392GSL,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INRC6H838 ,,"43""",2025,,HDMI,,,,,,,
,90,FIDS - Display 228,Baggage Claim 02 T1C ,1C,Baggage Claim,172.17.52.137,China,Asus,NUC14MNK-B2,T4ARAC009008LYV,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INUB66246 ,,"43""",2025,,HDMI,,,,,,,
,91,FIDS - Display 229,Baggage Claim 03 T1C ,1C,Baggage Claim,172.17.52.136,China,Asus,NUC14MNK-B2,T4ARAC00895645D,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,310INXJ0T362 *,,"43""",2025,,HDMI,,,,,,,
,92,FIDS - Display 230,Baggage Claim 04 T1C ,1C,Baggage Claim,172.17.52.135 ,China,Asus,NUC14MNK-B2,T4ARAC009028R8X,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INCN6H843 ,,"43""",2025,,HDMI,,,,,,,
,93,FIDS - Display 231,Baggage Claim 05 T1C ,1C,Baggage Claim,172.17.52.134,China,Asus,NUC14MNK-B2,T4ARAC008900G69,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,406INQUAM500,,"43""",2025,,HDMI,,,,,,,
,94,FIDS - Display 232,Baggage Claim 06 T1C ,1C,Baggage Claim,172.17.52.133,China,Asus,NUC14MNK-B2,T7ARAC00C384P7A,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INPT6H840,,"43""",2025,,HDMI,,,,,,,
,95,FIDS - Display 233,Baggage Claim 07 T1C,1C,Baggage Claim,172.17.52.132 ,China,Asus,NUC14MNK-B2,T7ARAC00C347JW8,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INLV6H848,,"43""",2025,,HDMI,,,,,,,
,96,FIDS - Display 234,Breakdown 01 T1C,1C,Breakdown,172.17.53.145,China,Asus,NUC14MNK-B2,T7ARAC00C247MAA,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INKH6H829,,"43""",2025,,HDMI,,,,,,,
,97,FIDS - Display 235,Breakdown 02 T1C,1C,Breakdown,172.17.53.144,China,Asus,NUC14MNK-B2,T7ARAC00C2462T3,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,408INEW66268,,"43""",2025,,HDMI,,,,,,,
,98,FIDS - Display 236,Breakdown 03 T1C,1C,Breakdown,172.17.53.143,China,Asus,NUC14MNK-B2,T7ARAC00C248DMH,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,310INKH0T381,,"43""",2025,,HDMI,,,,,,,
,99,FIDS - Display 237,Breakdown 04 T1C,1C,Breakdown,172.17.53.142,China,Asus,NUC14MNK-B2,T7ARAC00C364J4L,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,310INMF0T379,,"43""",2025,,HDMI,,,,,,,
,100,FIDS - Display 238,Breakdown 05 T1C,1C,Breakdown,172.17.53.141,China,Asus,NUC14MNK-B2,T7ARAC00C386V3M,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INCN6H843,,"43""",2025,,HDMI,,,,,,,
,101,FIDS - Display 239,Breakdown 06 T1C,1C,Breakdown,172.17.53.140,China,Asus,NUC14MNK-B2,T7ARAC00C384P7A,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INPT6H840,,"43""",2025,,HDMI,,,,,,,
,102,FIDS - Display 240,Breakdown 07 T1C,1C,Breakdown,172.17.53.139,China,Asus,NUC14MNK-B2,T7ARAC00C253MYH,,,,Win 11,2024,90,,Korea Selatan,LG,43UH5N-EP,503INLV6H848,,"43""",2025,,HDMI,,,,,,,
,103,FIDS - Display 241,General Arrival Kiri T1C,1C,Arrival,172.17.53.93,China,Asus,NUC14MNK-B2,,,,,Win 11,2024,90,,Korea Selatan,LG,75UH5N-MP,507INZY4E157,,"75""",2025,,HDMI,,,,,,,
,104,FIDS - Display 242,General Arrival Kanan T1C,1C,Arrival,172.17.53.201,China,Asus,NUC14MNK-B2,T7ARAC00C3779V3,,,,Win 11,2024,90,,Korea Selatan,LG,75UH5N-MP,507INHZ4E153,,"75""",2025,,HDMI,,,,,,,
,105,FIDS - Display 243,General Departure Pintu Keluar Arrival Kiri T1C,1C,Arrival,172.17.52.218,China,Asus,NUC14MNK-B2,T7ARAC00C240D4F,,,,,,,,Korea Selatan,LG,43UH5N-EP,310INYD0T394,,"43""",2025,,HDMI,,,,,,,
,106,FIDS - Display 244,General Departure Pintu Keluar Arrival Kanan T1C,1C,Arrival,172.17.52.219,China,Asus,NUC14MNK-B2,T7ARAC00C395NV3,,,,,,,,Korea Selatan,LG,43UH5N-EP,310INNG0T359,,"43""",2025,,HDMI,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,216,FIDS - Display 216,General Departure Meet Point T2D,2D,Departure,172.17.102.30,China,HP,Thin Client t640,8CN1010LP6,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,Korea,LG,65UH5C,805KLCHKY200,,"65""",2018,100,VGA &DVI,,DP tp DP,,,,,
2,217,FIDS - Display 217,General Checkin SCP Gate 2 Dual Atas T2D,2D,Departure,172.17.102.27,China,HP,Thin Client t630,8CN91608J3,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea,LG,,805KCMRKY203,,"65""",2018,100,DP,,DP to DP ,,,,,
3,218,FIDS - Display 218,General Checkin SCP Gate 2 Dual Bawah T2D,2D,Departure,172.17.102.27,,,,,,,,,,,,Korea,LG,,805KCTBKY201,,"65""",2018,100,HDMI,,DP to DP,,,,,
4,219,FIDS - Display 219,Departure Depan Gate 2 T2D,2D,Departure,172.17.102.26,China,HP,Thin Client t630,8CN1010LN6,"2 DP, 7 USB Type A, 1 LAN",60GB,8GB,Win 10,2021,115,,China,BOE,,MBVD07010020,,"75""",2023,100,HDMI,,DP to DP,,,,,
5,220,FIDS - Display 220,General Checkin kiri T2D,2D,Checkin,172.17.102.28,China,HP,Thin Client t630,8CN1010LNF,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2012,70,,Korea ,LG,,805KCRNKY166,,"55""",2018,100,VGA,,DP to DP,,,,,
6,221,FIDS - Display 221,General Checkin Kanan T2D,2D,Checkin,172.17.102.29,China,HP,Thin Client t630,8CN05302JJ,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win 10,2012,70,,Korea ,LG,,805KCDGKY202,,"55""",2018,100,DVI,,DP to DP,,,,,
7,222,FIDS - Display 222,Checkin 1 T2D,2D,Checkin,172.17.102.31,China,HP,Thin Client Elite t655,8CG437278P,"1 VGA, 3 DP",60 GB,8 GB,Win 10,2025,135,,Korea Selatan,LG,43SM5KE-BJ,111IN1U5G124,,"43""",2022,120,"Hdmi, Vga dan DVI",,VGA to VGA,,,,,
8,223,FIDS - Display 223,Checkin 2 T2D,2D,Checkin,172.17.102.31,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INXJ5G306,,"43""",2022,120,"Hdmi, Vga dan DVI",,HDMI to HDMI,,,,,
9,224,FIDS - Display 224,Checkin 3 T2D,2D,Checkin,172.17.102.32,China,HP,Thin Client t630,8CN91608G3,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INNG5G063,,"43""",2022,120,"Hdmi, Vga dan DVI",ü,DP to HDMI,,,,,
10,225,FIDS - Display 225,Checkin 4 T2D,2D,Checkin,172.17.102.32,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INCN5G147,,"43""",2022,120,"Hdmi, Vga dan DVI",ü,DP to HDMI,,,,,
11,226,FIDS - Display 226,Checkin 5 T2D,2D,Checkin,172.17.102.33,China,HP,Thin Client Elite t655,8CG4372785,"1 VGA, 3 DP",60 GB,8 GB,Win 10,2025,135,,Korea Selatan,LG,43SM5KE-BJ,111INYDAV218,,"43""",2022,120,"Hdmi, Vga dan DVI",,VGA to VGA,,,,,
12,227,FIDS - Display 227,Checkin 6 T2D,2D,Checkin,172.17.102.33,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INEW5G060,,"43""",2022,120,"Hdmi, Vga dan DVI",,HDMI to HDMI,,,,,
13,228,FIDS - Display 228,Checkin 7 T2D,2D,Checkin,172.17.102.34,China,HP,Thin Client t630,8CN91608L1,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INWA5G089,,"43""",2022,120,"Hdmi, Vga dan DVI",ü,DP TO HDMI,,,,,
14,229,FIDS - Display 229,Checkin 8 T2D,2D,Checkin,172.17.102.34,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INFK5G379,,"43""",2022,120,"Hdmi, Vga dan DVI",ü,DP TO HDMI,,,,,
15,230,FIDS - Display 230,Checkin 9 T2D,2D,Checkin,172.17.102.35,Taiwan,FUJITECH,Smart PC,Filled By O.E.M,"1 VGA, 1 DVI, 1 HDMI, 4 USB Type A, 1 LAN",250GB,4GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INBS5G261,,"43""",2022,120,"Hdmi, Vga dan DVI",,VGA to VGA,,,,,
16,231,FIDS - Display 231,Checkin 10 T2D,2D,Checkin,172.17.102.35,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INHZ5F953,,"43""",2022,120,"Hdmi, Vga dan DVI",,HDMI to HDMI,,,,,
17,232,FIDS - Display 232,Checkin 11 T2D,2D,Checkin,172.17.102.36,China,HP,Thin Client t630,8CN91608HG,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2012,70,,Korea Selatan,LG,43SM5KE-BJ,111INYD5F954,,"43""",2022,120,VGA DAN DVI,,DP to HDMI,,,,,
18,233,FIDS - Display 233,Checkin 12 T2D,2D,Checkin,172.17.102.36,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INXJ5G258,,"43""",2022,120,VGA DAN DVI,,VGA,,,,,
19,234,FIDS - Display 234,Checkin 13 T2D,2D,Checkin,172.17.102.37,China,HP,Thin Client t630,8CN91608HK,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INSE5G174,,"43""",2022,120,HDMI DAN VGA,,DP TO HDMI,,,,,
20,235,FIDS - Display 235,Checkin 14 T2D,2D,Checkin,172.17.102.37,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INRCAV694,,"43""",2022,120,HDMI DAN VGA,,DP TO HDMI,,,,,
21,236,FIDS - Display 236,Checkin 15 T2D,2D,Checkin,172.17.102.38,China,HP,Thin Client t630,8CN91608KQ,"1 VGA, 2 DP, 6 USB Type A, 1 LAN",30GB,4GB,Win10,2018,100,,Korea Selatan,LG,43SM5KE-BJ,111INAR5F968,,"43""",2022,120,VGA DAN DVI,,DP TO HDMI,,,,,
22,237,FIDS - Display 237,Checkin 16 T2D,2D,Checkin,172.17.102.38,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INMF5G251,,"43""",2022,120,VGA DAN DVI,,DP TO HDMI,,,,,
23,238,FIDS - Display 238,Checkin 17 T2D,2D,Checkin,172.17.102.39,China,HP,Thin Client Elite t655,8CG437278M,"1 VGA, 3 DP",60 GB,8 GB,Win 10,2025,135,,Korea Selatan,LG,43SM5KE-BJ,111INXJ5G018,,"43""",2022,120,"Hdmi, Vga dan DVI",,VGA TO VGA,,,,,
24,239,FIDS - Display 239,Checkin 18 T2D,2D,Checkin,172.17.102.39,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INQU5F956,,"43""",2022,120,"Hdmi, Vga dan DVI",,HDMI TO HDMI,,,,,
25,240,FIDS - Display 240,Checkin 19 T2D,2D,Checkin,172.17.102.40,Taiwan,LENOVO,ThinkEdge SE10,PF63PC8C,"3 USB, 1 LAN, 1 DVI, 1 VGA",320 GB,1 GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INCN5G027,,"43""",2022,120,"Hdmi, Vga dan DVI",,VGA TO VGA,,,,,
26,241,FIDS - Display 241,Checkin 20 T2D,2D,Checkin,172.17.102.40,,,,,,,,,,,,Korea Selatan,LG,43SM5KE-BJ,111INHZ5F977,,"43""",2022,120,"Hdmi, Vga dan DVI",ü,DVI to VGA,,,,,
27,242,FIDS - Display 242,Checkin 21 T2D,2D,Checkin,172.17.102.41,China,LENOVO,ThinkEdge SE10,PF63PC8C,"3 USB, 1 LAN, 1 DVI, 1 VGA",320 GB,1 GB,Lubuntu,2017,95,,Korea Selatan,LG,43SM5KE-BJ,111INDP5G106,,"43""",2022,120,"Hdmi, Vga dan DVI",,VGA TO VGA,,,,,
